folder_name,file_name,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9,label10,prob10
C:\IMAGES_SNEV\Flickr\picos\2015\16915766343.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16915766343.jpg,steel_arch_bridge,0.11767505,pier,0.10803775,harvester,0.09464875,mobile_home,0.08611943,worm_fence,0.062344592,turnstile,0.04959935,swing,0.044425562,plow,0.032428265,forklift,0.026195837,rocking_chair,0.02242034
C:\IMAGES_SNEV\Flickr\picos\2015\16915845793.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16915845793.jpg,breakwater,0.43392438,patio,0.36784494,beacon,0.08096479,pier,0.03942911,dock,0.024087042,flagpole,0.009194461,dam,0.006322956,picket_fence,0.004754414,bannister,0.004642463,lakeside,0.0036144643
C:\IMAGES_SNEV\Flickr\picos\2015\17206188377.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17206188377.jpg,fountain,0.15429685,patio,0.13019156,lakeside,0.12425917,pole,0.092847824,monastery,0.07462767,palace,0.05232472,triumphal_arch,0.041501313,obelisk,0.02959455,flagpole,0.022619395,bannister,0.018127555
C:\IMAGES_SNEV\Flickr\picos\2015\17235006872.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17235006872.jpg,switch,0.41035932,radiator,0.369443,prison,0.02945688,hook,0.024319395,megalith,0.023062216,bannister,0.02104628,padlock,0.020370606,totem_pole,0.012781319,combination_lock,0.009413323,vault,0.008942767
C:\IMAGES_SNEV\Flickr\picos\2015\17323358759.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17323358759.jpg,geyser,0.4946605,breakwater,0.22795162,volcano,0.14770377,fountain,0.0662622,fireboat,0.037186783,aircraft_carrier,0.0064078323,cliff,0.005476463,beacon,0.0021730454,drilling_platform,0.0020275593,seashore,0.0016544056
C:\IMAGES_SNEV\Flickr\picos\2015\17348322108.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17348322108.jpg,promontory,0.68011814,beacon,0.15762383,cliff,0.039682724,seashore,0.036380272,rapeseed,0.025761044,lakeside,0.012593867,breakwater,0.008687734,sandbar,0.0057737725,volcano,0.0054722587,picket_fence,0.0027914252
C:\IMAGES_SNEV\Flickr\picos\2015\17387526156.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17387526156.jpg,lakeside,0.48549658,alp,0.22835942,ski,0.0592641,valley,0.035538953,geyser,0.02314481,mountain_tent,0.020819932,pole,0.016583068,swing,0.013049945,picket_fence,0.0129323965,church,0.00806525
C:\IMAGES_SNEV\Flickr\picos\2015\17411564442.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17411564442.jpg,alp,0.24778293,lakeside,0.16134617,church,0.14712846,fountain,0.07614632,valley,0.038328998,castle,0.035512887,mountain_tent,0.035503846,breakwater,0.033930905,geyser,0.0225566,barn,0.019728083
C:\IMAGES_SNEV\Flickr\picos\2015\17411573102.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17411573102.jpg,lakeside,0.8919931,valley,0.03577035,mountain_tent,0.0164485,viaduct,0.007898319,stone_wall,0.0057522627,worm_fence,0.003631662,mountain_bike,0.003263536,totem_pole,0.0029948517,park_bench,0.002760558,canoe,0.0019718849
C:\IMAGES_SNEV\Flickr\picos\2015\17413200641.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17413200641.jpg,prison,0.9997204,space_heater,5.0196326e-05,padlock,3.3388187e-05,forklift,2.8560855e-05,window_shade,2.5933874e-05,radiator,1.32112855e-05,chainlink_fence,1.044729e-05,window_screen,9.343864e-06,turnstile,7.852385e-06,vault,6.840147e-06
C:\IMAGES_SNEV\Flickr\picos\2015\17413241291.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17413241291.jpg,ashcan,0.16436146,patio,0.13293462,crate,0.078026734,cannon,0.054671098,garbage_truck,0.025824886,amphibian,0.023491535,mailbox,0.02332223,church,0.02114106,maze,0.018799,dock,0.018098272
C:\IMAGES_SNEV\Flickr\picos\2015\17413544975.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17413544975.jpg,alp,0.33667052,stupa,0.20987566,valley,0.104101494,volcano,0.066398755,lakeside,0.04353997,castle,0.037192445,cliff,0.01731779,monastery,0.013968372,bighorn,0.013188853,timber_wolf,0.012023663
C:\IMAGES_SNEV\Flickr\picos\2015\17471262770.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17471262770.jpg,corn,0.2592769,ear,0.08073494,golf_ball,0.054552972,baseball,0.03446825,wood_rabbit,0.033948593,soccer_ball,0.0295508,tennis_ball,0.02443758,lakeside,0.015713623,maze,0.015375337,Border_terrier,0.013784972
