folder_name,file_name,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9,label10,prob10
C:\IMAGES_SNEV\Flickr\picos\2015\30436267846.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\30436267846.jpg,heritage_and_culture,0.35365697741508484,"spiritual,_symbolic_and_related_connotations",0.06198860704898834,vegetation_and_habitats,0.008243790827691555,landforms,0.0080341137945652,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\31436832805.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\31436832805.jpg,landforms,0.3961425721645355,heritage_and_culture,0.06893070042133331,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\32691150964.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\32691150964.jpg,heritage_and_culture,0.0034049120731651783,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\33406347491.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\33406347491.jpg,heritage_and_culture,0.006151814013719559,"spiritual,_symbolic_and_related_connotations",0.00022959758643992245,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\33513882575.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\33513882575.jpg,animals,0.19524577260017395,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\33871772156.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\33871772156.jpg,heritage_and_culture,0.021985476836562157,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\33912763555.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\33912763555.jpg,heritage_and_culture,0.023629656061530113,terrestrial_activities,0.009056415408849716,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\35293747894.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\35293747894.jpg,landforms,0.15310971438884735,water_activities,6.537776789627969e-5,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\37869267232.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\37869267232.jpg,heritage_and_culture,0.301675409078598,landforms,0.1707243174314499,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\42812630191.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\42812630191.jpg,winter_activities,0.02523992955684662,heritage_and_culture,0.010373231954872608,water_activities,0.008716953918337822,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\47924049642.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\47924049642.jpg,plants,0.15170545876026154,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\47948458953.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\47948458953.jpg,landforms,0.15594488382339478,heritage_and_culture,0.06175864487886429,animals,0.038063932210206985,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\47964199567.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\47964199567.jpg,"spiritual,_symbolic_and_related_connotations",0.6023722290992737,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48008332933.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48008332933.jpg,"spiritual,_symbolic_and_related_connotations",0.038130711764097214,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48044273558.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48044273558.jpg,animals,0.3224065601825714,plants,0.08178729563951492,fungus,0.017607934772968292,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48062355047.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48062355047.jpg,plants,0.9583315849304199,animals,0.004879659973084927,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48121175742.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48121175742.jpg,"spiritual,_symbolic_and_related_connotations",0.5287631154060364,accomodation,0.06767967343330383,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48121175882.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48121175882.jpg,"spiritual,_symbolic_and_related_connotations",0.7218542098999023,landforms,0.23414352536201477,animals,0.0028294220101088285,accomodation,0.0020172814838588238,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48327357462.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48327357462.jpg,"spiritual,_symbolic_and_related_connotations",0.6906996965408325,heritage_and_culture,0.22650602459907532,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48360535551.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48360535551.jpg,landforms,0.09425240755081177,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48360538276.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48360538276.jpg,landforms,0.4458114802837372,heritage_and_culture,0.005042458884418011,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48401884262.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48401884262.jpg,plants,0.14904852211475372,landforms,0.11085346341133118,heritage_and_culture,0.020357470959424973,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48417919397.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48417919397.jpg,landforms,0.29495036602020264,heritage_and_culture,0.004451401066035032,"spiritual,_symbolic_and_related_connotations",0.0032697259448468685,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48422003651.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48422003651.jpg,animals,0.11479761451482773,tracks_and_trails,0.009614141657948494,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48432400976.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48432400976.jpg,landforms,0.5694628953933716,heritage_and_culture,0.03684568405151367,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48432656476.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48432656476.jpg,animals,0.09734874218702316,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48436712947.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48436712947.jpg,animals,0.2736520767211914,plants,0.03726280480623245,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48436713032.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48436713032.jpg,plants,0.8244293332099915,animals,0.05467546731233597,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48439134471.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48439134471.jpg,landforms,0.32052847743034363,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48443215031.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48443215031.jpg,plants,0.07677760720252991,terrestrial_activities,0.04131985828280449,vegetation_and_habitats,0.03211472928524017,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48487826521.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48487826521.jpg,plants,0.6381138563156128,animals,0.02048422582447529,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48513184651.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48513184651.jpg,winter_activities,0.00014160218415781856,animals,0.00013144785771146417,landforms,8.273567800642923e-5,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48595044581.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48595044581.jpg,plants,0.8999173045158386,animals,0.005672832019627094,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48595180482.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48595180482.jpg,plants,0.17043301463127136,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48610903143.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48610903143.jpg,heritage_and_culture,0.9792677164077759,"spiritual,_symbolic_and_related_connotations",0.004078587982803583,landforms,0.0013940277276560664,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48611263881.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48611263881.jpg,heritage_and_culture,0.9320385456085205,"spiritual,_symbolic_and_related_connotations",0.010781561955809593,landforms,0.0008946157176978886,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48611264181.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48611264181.jpg,heritage_and_culture,0.9973422884941101,"spiritual,_symbolic_and_related_connotations",0.00034892329131253064,landforms,2.549428063503001e-5,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48611376632.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48611376632.jpg,heritage_and_culture,0.022763384506106377,"spiritual,_symbolic_and_related_connotations",0.00957551784813404,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48611416242.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48611416242.jpg,heritage_and_culture,0.9996050000190735,landforms,0.0001883539225673303,"spiritual,_symbolic_and_related_connotations",2.592356213426683e-5,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\48621954926.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\48621954926.jpg,plants,0.5891870260238647,terrestrial_activities,0.017343247309327126,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
